ticker,pe_ratio,eps,revenue,market_cap,pb_ratio,dividend_yield
BITO,15.0,5.0,1000000000.0,10000000000.0,1.5,49.98
USO,22.326777,5.0,1000000000.0,8788388864.0,1.82644,0.0
XLRE,35.427868,5.0,1000000000.0,10000000000.0,1.5,3.34
^GSPC,15.0,5.0,1000000000.0,10000000000.0,1.5,0.0
DBA,10.975507,5.0,1000000000.0,717323968.0,1.5370512,4.18
MA,38.376938,14.83,30240999424.0,514500362240.0,65.658745,0.54
DIA,22.428896,5.0,1000000000.0,35906924544.0,1.2338845,1.53
XLK,38.183823,5.0,1000000000.0,71564328960.0,1.76124,0.59
GE,38.786324,7.02,41611001856.0,288736608256.0,15.08978,0.53
C,13.623339,6.77,73325002752.0,169786212352.0,0.86242205,2.62
PEP,25.646631,5.49,91747999744.0,192766476288.0,10.473074,4.08
JPM,14.948692,19.49,163644997632.0,801116323840.0,2.3780763,1.92
BAC,13.319647,3.41,98455003136.0,336423649280.0,1.2233684,2.46
XLI,26.427872,5.0,1000000000.0,20620961792.0,1.534122,1.27
GOOGL,20.905117,9.38,371399000064.0,2375061602304.0,6.540039,0.43
WMT,44.17094,2.34,685086015488.0,824856215552.0,9.8513155,0.95
^IXIC,15.0,5.0,1000000000.0,10000000000.0,1.5,0.0
PG,23.444786,6.52,84283998208.0,358054690816.0,6.9872465,2.81
XOM,15.150783,7.03,329816014848.0,454078758912.0,1.7291988,3.69
XLU,21.483585,5.0,1000000000.0,13979520000.0,1.3380215,2.66
SLV,15.0,5.0,1000000000.0,11728806912.0,1.60905,0.0
ARKK,46.176517,5.0,1000000000.0,10000000000.0,1.5,0.0
GBTC,15.0,5.0,1000000000.0,62784110592.0,1.5,0.0
^VIX,15.0,5.0,1000000000.0,10000000000.0,1.5,0.0
AMD,97.67664,1.67,29600000000.0,264482766848.0,4.4371905,0.0
MRK,12.240371,6.49,63616000000.0,199476232192.0,4.1353464,4.01
AAPL,32.359634,6.59,408624988160.0,3164715352064.0,48.12683,0.51
XLE,15.645808,5.0,1000000000.0,15793841152.0,1.6256356,3.28
BRK-B,16.058561,29.2,370150998016.0,1010791809024.0,0.0010099119,0.0
XLB,25.908083,5.0,1000000000.0,6295480832.0,1.1063782,1.95
BLK,27.072723,41.39,21572999168.0,173459603456.0,3.6162202,1.88
UNH,10.644435,23.09,422817988608.0,222956863488.0,2.2261672,3.52
KO,24.648937,2.82,47061999616.0,299148083200.0,10.466798,2.95
TSLA,191.56288,1.67,92719996928.0,1031853703168.0,13.340144,0.0
XLF,18.154835,5.0,1000000000.0,45894967296.0,1.5271777,1.38
HD,26.277172,14.72,162952003584.0,384838139904.0,48.380238,2.39
SCHW,25.99731,3.72,21625999360.0,175719170048.0,4.3557177,1.12
PFE,12.661376,1.89,63833001984.0,136055218176.0,1.5337777,6.95
VTI,26.658342,5.0,1000000000.0,645445386240.0,2.231087,1.19
SPY,26.868155,5.0,1000000000.0,580754145280.0,1.4742557,1.13
DIS,23.504082,4.9,94039998464.0,207046868992.0,1.9879519,0.85
ABBV,93.4762,2.1,58327998464.0,346775748608.0,-1887.5,3.3
NFLX,50.319386,23.42,41693184000.0,500766801920.0,20.06914,0.0
INTC,15.0,-4.77,53070000128.0,89334571008.0,0.9126682,0.0
MS,16.002266,8.83,65612001280.0,225562836992.0,2.2943153,2.85
QQQ,33.214966,5.0,1000000000.0,223013502976.0,1.5856938,0.5
GLD,15.0,5.0,1000000000.0,80823148544.0,1.826288,0.0
WFC,13.335052,5.82,77618003968.0,249932906496.0,1.5193219,2.31
T,15.708571,1.75,123984003072.0,196564205568.0,1.8700681,4.0
XLV,23.582687,5.0,1000000000.0,25764632576.0,1.0255705,1.84
GS,15.956408,45.42,54793998336.0,219394015232.0,1.9229585,2.22
META,28.011248,27.56,178803998720.0,1939346948096.0,9.95705,0.28
NVDA,57.877422,3.1,148514996224.0,4375623237632.0,52.187317,0.02
V,33.24266,10.22,38892998656.0,659414974464.0,17.34872,0.7
UNG,15.0,5.0,1000000000.0,163625488.0,1.408949,0.0
MSFT,38.54185,13.62,281723994112.0,3901968351232.0,11.361355,0.63
CVX,19.662806,7.77,189393993728.0,310636871680.0,1.7877787,4.47
AMZN,33.888718,6.56,670038032384.0,2370913697792.0,7.1000605,0.0
JNJ,18.264454,9.34,90626998272.0,410838695936.0,5.2320194,3.05
^DJI,15.0,5.0,1000000000.0,10000000000.0,1.5,0.0
XLY,29.225826,5.0,1000000000.0,26871736320.0,1.3301982,0.83
XLP,23.448624,5.0,1000000000.0,17154239488.0,1.1971779,2.52
